customer_id,tenure_months,plan_value,num_failed_payments_30d,failure_reason_dominant,payment_method,days_since_last_failure,failure_clustering_near_billing_date,churned
b0ca73c1-a84c-4051-a3fd-813ebea34982,32,4499.0,0,none,netbanking,13,False,False
18e91a49-e57c-4179-b48d-cf2fc7c3587c,4,1999.0,3,insufficient_funds,card,4,True,True
f5e3e3b4-e485-4414-b7d6-be1a67c5b449,6,1499.0,2,insufficient_funds,card,2,False,False
7a065669-e2cc-4f46-bc9f-b6544113dd0f,5,1999.0,1,insufficient_funds,card,4,False,True
87aee702-06b5-49f6-a600-1d5ef6728907,9,1299.0,3,network_error,upi,3,False,True
4d08ceae-c66a-4a55-ac4d-5075799513b4,25,5999.0,1,none,upi,25,False,False
708bd5a4-da52-4fe8-849e-0c22ab0f6cfd,11,1299.0,3,card_declined,netbanking,3,False,False
6bb9b7f0-bef5-46f3-8b3b-76fd0ddd55b8,2,499.0,4,insufficient_funds,upi,6,False,True
0aff2877-ab47-49db-92bf-b7f80b35287f,3,999.0,3,insufficient_funds,upi,0,True,True
a1fb96b0-e42f-41de-abe7-6b336e86d852,9,1499.0,2,card_declined,card,9,True,False
91b8ec74-c4ad-41d7-a660-2abbec84e8ef,12,499.0,1,card_declined,card,20,False,False
88811c9f-161c-4293-8338-aad1a52daeec,3,1299.0,6,expired_card,upi,3,False,True
e7d446e5-cdb1-41d0-997f-0d15f3312ca1,1,1499.0,6,insufficient_funds,upi,2,True,True
5eefdbd5-38b1-4dc1-a2e2-862493ead6fc,14,1999.0,2,expired_card,upi,13,False,True
d562236c-663d-46dc-9f77-26ed40e915ea,2,499.0,5,insufficient_funds,upi,6,False,True
82275d77-5dcd-4d15-bf30-aa6886035eb1,2,1299.0,4,insufficient_funds,upi,4,False,False
93dee34d-bfd1-4994-bf4b-ef095efb6b8a,9,499.0,2,insufficient_funds,upi,18,True,True
6f5c6ec5-b0ab-4afa-8917-e3bd3d716f78,7,1499.0,1,card_declined,netbanking,2,True,False
e4563e4d-74ac-46df-aac2-f075432a9c20,28,4999.0,1,network_error,netbanking,28,False,False
781cefa6-747c-4f79-9598-c9fcfef28cb0,8,1499.0,1,expired_card,card,17,False,False
d9c021c1-3dbf-49d5-9241-9a865ea370aa,8,1999.0,3,network_error,netbanking,2,True,True
3c3b960b-8796-4dc1-b892-a8b5dfe7e8ca,3,4999.0,3,insufficient_funds,netbanking,12,False,False
ea38fcfe-b2c9-4abc-ad45-4849a3009510,6,999.0,3,card_declined,card,0,True,True
abb10bb6-7267-4230-92de-d3c2605949bc,32,4499.0,1,none,upi,22,True,False
0031886d-f6c6-41cc-b255-6d4ee566c614,13,499.0,1,card_declined,card,9,True,False
4c70d98e-2979-4987-b8d8-513fc1df4e14,10,1499.0,1,expired_card,upi,6,False,True
beee4aa0-2ad0-4b52-847a-3d3aa4a506dc,25,5999.0,1,network_error,upi,29,False,False
14da2154-f29f-4da5-8d4c-098bde870764,13,1499.0,1,insufficient_funds,card,13,False,True
db3e47c0-baab-4253-9064-7b88e80f5759,8,999.0,1,insufficient_funds,upi,3,True,False
0b48438f-2c95-42f5-ac2d-a830c7ac7b12,8,1999.0,2,network_error,upi,0,True,False
284a8b79-d247-482a-bcc6-97eebe67534c,3,1499.0,2,insufficient_funds,card,3,False,True
0560c7d2-e209-4297-a06b-e6eaa81eb7f3,2,1999.0,3,insufficient_funds,card,2,False,True
9ed47747-121f-4d2d-b60c-ff8048bf033c,12,999.0,3,card_declined,card,18,False,False
fe5ac832-9d0c-433a-9d7e-cf25b573485b,10,499.0,2,insufficient_funds,card,17,False,False
b62ac645-af7c-48f3-9a0d-a49ff902d794,6,1999.0,2,insufficient_funds,upi,3,True,False
8b6de6f1-164c-4b47-831a-1c084099cd14,36,5999.0,1,network_error,card,12,True,False
06ec1bf0-4a42-4568-9b07-1c493f4d4433,7,1299.0,1,card_declined,netbanking,0,True,False
63c974eb-44e9-4d34-ab9f-eee1f41d3855,8,1499.0,3,insufficient_funds,upi,3,True,True
8a462a23-b383-44e6-8951-31428a085217,1,1299.0,3,insufficient_funds,card,4,True,True
2c10916e-adeb-4c0f-bfae-abfd6bc555b5,9,999.0,2,card_declined,card,8,False,True
36c8873a-614c-4ba1-9ca9-e4b682bcf50f,8,499.0,3,card_declined,card,8,True,False
979a1ee3-764b-4f07-8233-03c63af43f07,3,1299.0,5,insufficient_funds,netbanking,0,True,True
240202ea-6947-4ec1-9d52-d5aa3cb4ba61,2,1999.0,3,card_declined,card,15,False,False
0c53ca9d-bdbc-4544-ae12-328828970378,3,2499.0,2,insufficient_funds,card,1,True,True
